DEDICACION,CATEGORIA,ENERO,FEBRERO,MARZO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
exclusiva,Titular,119376.18,126101.61,145344.73,165924.52,181359.36,190363.02,196794.21,208370.34,217374.00,239240.03
exclusiva,Asociado,106227.26,112211.90,129335.44,147648.43,161383.17,169395.10,175117.91,185418.97,193430.90,212888.46
exclusiva,Adjunto,93125.12,98371.62,113383.14,129437.39,141478.08,148501.82,153518.78,162549.30,169573.04,186630.70
exclusiva,JTP,79976.16,84481.87,97373.81,111161.26,121501.85,127533.86,131842.44,139597.88,145629.89,160279.07
exclusiva,Ayudante de 1era,66813.79,70577.95,81348.15,92866.48,101505.23,106544.50,110143.98,116623.04,121662.31,133900.55
semiexclusiva,Titular,59688.14,63050.86,72672.43,82962.34,90679.77,95181.61,98397.21,104185.28,108687.12,119620.15
semiexclusiva,Asociado,53113.65,56105.97,64667.75,73824.25,80691.63,84697.60,87559.01,92709.54,96715.51,106444.30
semiexclusiva,Adjunto,46562.61,49185.86,56691.63,64718.77,70739.12,74251.00,76759.48,81274.75,84786.63,93315.48
semiexclusiva,JTP,39988.14,42241.00,48686.98,55580.72,60751.02,63767.03,65921.33,69799.06,72815.07,80139.68
semiexclusiva,Ayudante de 1era,33406.90,35288.98,40674.08,46433.25,50752.63,53272.27,55072.01,58311.54,60831.18,66950.31
simple,Titular,29844.10,31525.46,36336.25,41481.21,45339.93,47590.85,49198.65,52092.69,54343.61,59810.13
simple,Asociado,26556.84,28053.00,32333.89,36912.14,40345.83,42348.82,43779.53,46354.80,48357.79,53222.20
simple,Adjunto,23281.34,24592.97,28345.86,32359.44,35369.62,37125.56,38379.81,40637.45,42393.39,46657.83
simple,JTP,19994.13,21120.57,24343.58,27790.46,30375.62,31883.63,32960.78,34899.65,36407.66,40069.97
simple,Ayudante de 1era,16703.55,17644.61,20337.19,23216.80,25376.51,26636.34,27536.22,29156.00,30415.83,33475.43
simple,Ayudante de 2da,13362.82,14115.67,16269.73,18573.41,20301.17,21309.03,22028.93,23324.75,24332.61,26780.27
