DEDICACION,CATEGORIA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
exclusiva,Titular,241812.51,246957.46,293632.44,313882.96,338942.98,366058.42,406731.58,444015.31,488416.85,547026.88,596259.30,629080.92
exclusiva,Asociado,215177.59,219755.84,261289.71,279309.69,301609.43,325738.19,361931.33,395108.37,434619.21,486773.52,530583.14,559789.56
exclusiva,Adjunto,188637.49,192651.06,229062.13,244859.52,264408.80,285561.51,317290.57,346375.54,381013.10,426734.68,465140.81,490744.90
exclusiva,JTP,162002.51,165449.38,196719.34,210286.20,227075.19,245241.21,272490.24,297468.52,327215.38,366481.23,399464.55,421453.43
exclusiva,Ayudante de 1era,135340.35,138219.94,164343.53,175677.57,189703.45,204879.73,227644.15,248511.53,273362.69,306166.22,333721.18,352091.16
semiexclusiva,Titular,120906.39,123478.87,146816.39,156941.66,169471.69,183029.43,203366.04,222007.93,244208.73,273513.78,298130.03,314540.86
semiexclusiva,Asociado,107588.87,109878.00,130644.96,139654.96,150804.84,162869.23,180965.82,197554.36,217309.80,243386.98,265291.81,279895.03
semiexclusiva,Adjunto,94318.88,96325.67,114531.24,122429.95,132204.60,142780.97,158645.53,173188.04,190506.85,213367.68,232570.78,245372.85
semiexclusiva,JTP,81001.40,82724.84,98359.85,105143.29,113537.80,122620.83,136245.37,148734.53,163607.99,183240.95,199732.64,210727.10
semiexclusiva,Ayudante de 1era,67670.21,69110.01,82171.82,87838.85,94851.80,102439.95,113822.17,124255.87,136681.46,153083.24,166860.74,176045.74
simple,Titular,60453.25,61739.49,73408.26,78470.90,84735.92,91514.80,101683.12,111004.08,122104.49,136757.03,149065.17,157270.60
simple,Asociado,53794.49,54939.06,65322.56,69827.57,75402.52,81434.73,90483.04,98777.32,108655.06,121693.67,132646.11,139947.74
simple,Adjunto,47159.53,48162.93,57265.74,61215.11,66102.46,71390.66,79322.96,86594.24,95253.67,106684.12,116285.70,122686.75
simple,JTP,40500.83,41362.55,49180.08,52571.81,56769.08,61310.61,68122.90,74367.50,81804.25,91620.76,99866.63,105363.88
simple,Ayudante de 1era,33835.39,34555.30,41086.28,43919.82,47426.33,51220.44,56911.60,62128.50,68341.35,76542.32,83431.13,88023.67
simple,Ayudante de 2da,27068.23,27644.15,32868.91,35135.74,37940.94,40976.22,45529.14,49702.65,54672.92,61233.68,66744.72,70418.75
