DEDICACION,CATEGORIA,ENERO,FEBRERO,MARZO,ABRIL,MAYO
exclusiva,Titular,1262025.73,1277170.03,1293773.24,1310592.29,1327629.98
exclusiva,Asociado,1123020.19,1136496.43,1151270.88,1166237.40,1181398.48
exclusiva,Adjunto,984505.76,996319.82,1009271.97,1022392.50,1035683.60
exclusiva,JTP,845496.42,855642.37,866765.72,878033.67,889448.10
exclusiva,Ayudante de 1era,706344.71,714820.84,724113.51,733526.98,743062.83
semiexclusiva,Titular,631013.96,638586.12,646887.73,655297.27,663816.13
semiexclusiva,Asociado,561509.28,568247.39,575634.60,583117.84,590698.37
semiexclusiva,Adjunto,492248.56,498155.54,504631.56,511191.77,517837.26
semiexclusiva,JTP,422747.65,427820.62,433382.28,439016.24,444723.45
semiexclusiva,Ayudante de 1era,353171.32,357409.37,362055.69,366762.41,371530.32
simple,Titular,315506.16,319292.23,323443.02,327647.77,331907.19
simple,Asociado,280750.82,284119.82,287813.37,291554.94,295345.15
simple,Adjunto,246121.81,249075.27,252313.24,255593.31,258916.02
simple,JTP,211371.37,213907.82,216688.62,219505.57,222359.14
simple,Ayudante de 1era,176582.55,178701.54,181024.66,183377.98,185761.89
simple,Ayudante de 2da,141268.33,142963.54,144822.06,146704.74,148611.90
